date,macro_SP500
12/1/69,-15.19
12/1/70,4.82
12/1/71,6.11
12/1/72,14.58
12/1/73,-16.58
12/1/74,-27.57
12/1/75,38.32
12/1/76,17.86
12/1/77,-17.27
12/1/78,-3.15
12/1/79,4.19
12/1/80,14.93
12/1/81,-9.23
12/1/82,19.6
12/1/83,20.27
12/1/84,-3.74
12/1/85,27.66
12/1/86,22.58
12/1/87,2.26
12/1/88,11.85
12/1/89,26.96
12/1/90,-4.34
12/1/91,20.32
12/1/92,4.17
12/1/93,13.72
12/1/94,2.14
12/1/95,33.45
12/1/96,26.01
12/1/97,22.64
12/1/98,16.1
12/1/99,25.22
12/1/00,-6.17
12/1/01,-7.1
12/1/02,-16.76
12/1/03,25.32
12/1/04,3.15
12/1/05,-0.61
12/1/06,16.29
12/1/07,6.43
12/1/08,-33.84
12/1/09,18.82
12/1/10,11.02
12/1/11,5.53
12/1/12,7.26
12/1/13,26.5
12/1/14,7.52
12/1/15,-2.23
12/1/16,13.42
12/1/17,25.08
10/1/18,6.99